mat_hang,don_vi,gia_vnd
Gạo (5kg),kg,18000
Thịt Heo(1kg),kg,120000
Thịt Gà(1kg),kg,95000
Trứng Gà(10 quả),chục,32000
Rau củ tổng hợp,kg,25000
Sữa tươi (1 lít),lít,33000
Dầu ăn (1 lít),lít,48000
Đường  (1kg),kg,23000
Muối (0.5kg),kg,6000
Gas (bình 12kg),bình,470000
Điện (1kWh),kWh,4000
Nước (1m3),m3,8000
Internet/tháng,tháng,200000
Thuê nhà trọ (phòng 20m2),tháng,2500000
Xe buýt/thẻ tháng,tháng,200000
Xăng (1 lít ),lít,25000
Quần áo bình dân (bộ),bộ,200000
Chi phí y tế cơ bản,tháng,300000
Chi phí học tập (sách/vở/thẻ thư viện),tháng,150000
Chi phí giải trí cơ bản (1 lần phim/net),lần,60000
